symbol_x,symbol_y,corr,pvalue,beta,half_life_bars,selected
DOTUSDT,PENGUUSDT,0.8756102325496057,0.042706455826550756,1.6483396985949086,30.34845024255625,False
DOGEUSDT,SUSDT,0.7945045228004344,0.042787511579975596,0.895549981289154,61.51535441621995,False
DOGEUSDT,PENDLEUSDT,0.7522667990871086,0.042862380324894346,0.7574970476352532,56.49381402856337,False
CAKEUSDT,ETHUSDT,0.957430691985852,0.04311595621156678,1.1478007870445233,27.442174738630012,False
PUMPUSDT,XLMUSDT,0.8789723823177458,0.04313808441192118,0.6462211986456394,31.377020294498408,False
ASTERUSDT,BONKUSDT,0.8021253136293686,0.0442625289569363,1.637276831766895,22.950034118242666,False
BMTUSDT,FLOKIUSDT,0.8298589281126921,0.04447836903837054,0.7982573475083545,20.84246424856354,False
SOLUSDT,VIRTUALUSDT,0.8280244329631304,0.04457744859837741,1.3608054094446926,54.3426823049864,False
ADAUSDT,UNIUSDT,0.8840526780655005,0.04462751032339445,0.7771153656674551,29.71471204402055,False
CFXUSDT,FETUSDT,0.9417470131734706,0.04559447931385817,1.3905844693131812,22.51726412569729,False
PEPEUSDT,ZENUSDT,0.916318099241956,0.04612666307151962,0.7670436658035042,18.65798558467778,False
CRVUSDT,FORMUSDT,0.754412257727041,0.049233769090681105,1.8493526268532225,30.758577112906604,False
